"","x"
"77","Bull Durham (1988)"
"78","Flirting With Disaster (1996)"
"79","Cosi (1996)"
"80","Twelve Chairs, The (1970)"
"81","Trading Places (1983)"
"82","Schizopolis (1996)"
"83","Heathers (1989)"
"84","Impostors, The (1998)"
"85","Grosse Fatigue (1994)"
"86","Moonstruck (1987)"
"87","My Cousin Vinny (1992)"
"88","Return of the Pink Panther, The (1974)"
"89","Cold Comfort Farm (1995)"
"90","Taming of the Shrew, The (1967)"
"91","Freedom for Us (À nous la liberté ) (1931)"
"92","Things Change (1988)"
"93","Battle of the Sexes, The (1959)"
"94","Jerk, The (1979)"
"95","Bob Roberts (1992)"
"96","Going My Way (1944)"
"97","Hard Core Logo (1996)"
"98","Gods Must Be Crazy, The (1980)"
"99","Saving Grace (2000)"
"100","Monster, The (Il Mostro) (1994)"
"101","Go West (1925)"
"102","Dogma (1999)"
"103","Sixteen Candles (1984)"
"104","Austin Powers: International Man of Mystery (1997)"
"105","American Pie (1999)"
"106","Irma la Douce (1963)"
"107","Real Genius (1985)"
"108","Ideal Husband, An (1999)"
"109","Different for Girls (1996)"
"110","Bullets Over Broadway (1994)"
"111","Tao of Steve, The (2000)"
"112","Pleasantville (1998)"
"113","Dazed and Confused (1993)"
"114","Dinner Game, The (Le Dîner de cons) (1998)"
"115","Little Voice (1998)"
"116","Naked Gun: From the Files of Police Squad!, The (1988)"
"117","Fandango (1985)"
"118","Cup, The (Phörpa) (1999)"
"119","Santitos (1997)"
"120","Dog's Life, A (1920)"
"121","East is East (1999)"
"122","Fear of a Black Hat (1993)"
"123","Father of the Bride (1950)"
"124","Friday (1995)"
"125","Children of the Revolution (1996)"
"126","Metropolitan (1990)"
"127","My Dog Skip (1999)"
"128","Mighty Aphrodite (1995)"
"129","Risky Business (1983)"
"130","Meet the Parents (2000)"
"131","Daddy Long Legs (1919)"
"132","Heaven Can Wait (1978)"
"133","Withnail and I (1987)"
"134","Wayne's World (1992)"
"135","Denise Calls Up (1995)"
"136","Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
"137","Monsieur Verdoux (1947)"
"138","Mother (1996)"
"139","Fletch (1985)"
"140","Barefoot in the Park (1967)"
"141","History of the World: Part I (1981)"
"142","Tea with Mussolini (1999)"
"143","Christmas Vacation (1989)"
"144","A Chef in Love (1996)"
"145","March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934)"
"146","Jeffrey (1995)"
"147","Blue in the Face (1995)"
"148","Everything You Always Wanted to Know About Sex (1972)"
"149","Birdcage, The (1996)"
"150","Mumford (1999)"
"151","Mallrats (1995)"
"152","God Said 'Ha!' (1998)"
"153","Careful (1992)"
"154","Ref, The (1994)"
"155","Happy Gilmore (1996)"
"156","Pajama Game, The (1957)"
"157","Mr. & Mrs. Smith (1941)"
"158","Tommy Boy (1995)"
"159","Celestial Clockwork (1994)"
"160","Liar Liar (1997)"
"161","Cabinet of Dr. Ramirez, The (1991)"
"162","Six Ways to Sunday (1997)"
"163","Broadway Damage (1997)"
"164","Happy, Texas (1999)"
"165","Kentucky Fried Movie, The (1977)"
"166","That Thing You Do! (1996)"
"167","Scrooged (1988)"
"168","Kingpin (1996)"
"169","Up in Smoke (1978)"
"170","Love & Human Remains (1993)"
"171","Night Shift (1982)"
"172","Ruthless People (1986)"
"173","Three Ages, The (1923)"
"174","Brighton Beach Memoirs (1986)"
"175","Mystery, Alaska (1999)"
"176","Bulworth (1998)"
"177","Weird Science (1985)"
"178","Mrs. Doubtfire (1993)"
"179","Kids in the Hall: Brain Candy (1996)"
"180","Jonah Who Will Be 25 in the Year 2000 (1976)"
"181","Grumpy Old Men (1993)"
"182","Citizen's Band (a.k.a. Handle with Care) (1977)"
"183","Funny Bones (1995)"
"184","Pee-wee's Big Adventure (1985)"
"185","Clockwatchers (1997)"
"186","Reckless (1995)"
"187","Battling Butler (1926)"
"188","Perils of Pauline, The (1947)"
"189","Bossa Nova (1999)"
"190","What About Bob? (1991)"
"191","Analyze This (1999)"
"192","Brothers McMullen, The (1995)"
"193","Austin Powers: The Spy Who Shagged Me (1999)"
"194","Guantanamera (1994)"
"195","Small Time Crooks (2000)"
"196","Dick (1999)"
"197","Beautiful People (1999)"
"198","Hav Plenty (1997)"
"199","Farmer's Wife, The (1928)"
"200","Gay Deceivers, The (1969)"
"201","One Crazy Summer (1986)"
"202","Kiss Me, Guido (1997)"
"203","Angus (1995)"
"204","Safe Men (1998)"
"205","Slums of Beverly Hills, The (1998)"
"206","Meatballs (1979)"
"207","Outside Providence (1999)"
"208","Mating Habits of the Earthbound Human, The (1998)"
"209","Fierce Creatures (1997)"
"210","In & Out (1997)"
"211","Bring It On (2000)"
"212","Big Tease, The (1999)"
"213","Road Trip (2000)"
"214","Bowfinger (1999)"
"215","Hollywood Knights, The (1980)"
"216","Blue Streak (1999)"
"217","Wedding Bell Blues (1996)"
"218","Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)"
"219","But I'm a Cheerleader (1999)"
"220","Pink Flamingos (1972)"
"221","Cool Runnings (1993)"
"222","Party Girl (1995)"
"223","Kid, The (2000)"
"224","Stiff Upper Lips (1998)"
"225","Soapdish (1991)"
"226","Man with Two Brains, The (1983)"
"227","For Love or Money (1993)"
"228","Love Serenade (1996)"
"229","Live Nude Girls (1995)"
"230","Half Baked (1998)"
"231","EDtv (1999)"
"232","My Fellow Americans (1996)"
"233","My Blue Heaven (1990)"
"234","Dumb & Dumber (1994)"
"235","Private Benjamin (1980)"
"236","White Men Can't Jump (1992)"
"237","Me Myself I (2000)"
"238","Billy Madison (1995)"
"239","I'm Not Rappaport (1996)"
"240","Gods Must Be Crazy II, The (1989)"
"241","Addams Family, The (1991)"
"242","Sunset Strip (2000)"
"243","Cecil B. Demented (2000)"
"244","SubUrbia (1997)"
"245","Back to School (1986)"
"246","Ace Ventura: Pet Detective (1994)"
"247","Nutty Professor, The (1963)"
"248","Easy Money (1983)"
"249","Bachelor Party (1984)"
"250","Big Daddy (1999)"
"251","Crooklyn (1994)"
"252","Orgazmo (1997)"
"253","Drop Dead Gorgeous (1999)"
"254","Cousin Bette (1998)"
"255","Replacements, The (2000)"
"256","About Adam (2000)"
"257","Married to the Mob (1988)"
"258","Naked Gun 2 1/2: The Smell of Fear, The (1991)"
"259","Real Blonde, The (1997)"
"260","Illuminata (1998)"
"261","Nothing in Common (1986)"
"262","28 Days (2000)"
"263","To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
"264","Max Dugan Returns (1983)"
"265","Bamboozled (2000)"
"266","Sugar Town (1999)"
"267","Romy and Michele's High School Reunion (1997)"
"268","Detroit Rock City (1999)"
"269","Pushing Tin (1999)"
"270","Distinguished Gentleman, The (1992)"
"271","Dirty Work (1998)"
"272","Father of the Bride Part II (1995)"
"273","Open Season (1996)"
"274","Paris, France (1993)"
"275","Fausto (1993)"
"276","Metisse (Café au Lait) (1993)"
"277","Bye Bye, Love (1995)"
"278","Faithful (1996)"
"279","Getting Away With Murder (1996)"
"280","Death in Brunswick (1991)"
"281","Associate, The (1996)"
"282","Foolish (1999)"
"283","Where the Buffalo Roam (1980)"
"284","Soft Toilet Seats (1999)"
"285","Held Up (2000)"
"286","Me, Myself and Irene (2000)"
"287","Police Academy (1984)"
"288","BASEketball (1998)"
"289","Breakfast of Champions (1999)"
"290","Airplane II: The Sequel (1982)"
"291","Tough Guys (1986)"
"292","Fletch Lives (1989)"
"293","Life (1999)"
"294","First Wives Club, The (1996)"
"295","Funny Farm (1988)"
"296","Black Sheep (1996)"
"297","My Chauffeur (1986)"
"298","For Richer or Poorer (1997)"
"299","Robin Hood: Men in Tights (1993)"
"300","Doctor Dolittle (1998)"
"301","Waterboy, The (1998)"
"302","Pajama Party (1964)"
"303","European Vacation (1985)"
"304","Bustin' Loose (1981)"
"305","Shakes the Clown (1991)"
"306","Houseguest (1994)"
"307","'burbs, The (1989)"
"308","Addams Family Values (1993)"
"309","Brady Bunch Movie, The (1995)"
"310","Naked Gun 33 1/3: The Final Insult (1994)"
"311","Celebrity (1998)"
"312","Dear God (1996)"
"313","Money Pit, The (1986)"
"314","Falling in Love Again (1980)"
"315","Wayne's World 2 (1993)"
"316","Multiplicity (1996)"
"317","Lords of Flatbush, The (1974)"
"318","20 Dates (1998)"
"319","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)"
"320","Out to Sea (1997)"
"321","Nadine (1987)"
"322","Relax... It's Just Sex (1998)"
"323","It Takes Two (1995)"
"324","Splendor (1999)"
"325","House Party (1990)"
"326","Rocket Man (1997)"
"327","From the Hip (1987)"
"328","Life with Mikey (1993)"
"329","Down Periscope (1996)"
"330","Merry War, A (1997)"
"331","Weekend at Bernie's (1989)"
"332","Clean Slate (1994)"
"333","Great White Hype, The (1996)"
"334","Heart Condition (1990)"
"335","Eight Days a Week (1997)"
"336","Class (1983)"
"337","Amos & Andrew (1993)"
"338","Senseless (1998)"
"339","Drowning Mona (2000)"
"340","Nine Months (1995)"
"341","Deuce Bigalow: Male Gigolo (1999)"
"342","Critical Care (1997)"
"343","Death Becomes Her (1992)"
"344","Miami Rhapsody (1995)"
"345","Late Bloomers (1996)"
"346","I Got the Hook Up (1998)"
"347","Trippin' (1999)"
"348","3 Strikes (2000)"
"349","Porky's (1981)"
"350","Cable Guy, The (1996)"
"351","Whipped (2000)"
"352","Major Payne (1994)"
"353","Sour Grapes (1998)"
"354","Who's Harry Crumb? (1989)"
"355","Harry and the Hendersons (1987)"
"356","Stars and Bars (1988)"
"357","Odd Couple II, The (1998)"
"358","Bean (1997)"
"359","Polish Wedding (1998)"
"360","Dead Man on Campus (1998)"
"361","Son in Law (1993)"
"362","Out-of-Towners, The (1999)"
"363","Rent-a-Kid (1995)"
"364","Sprung (1997)"
"365","It's in the Water (1998)"
"366","Air Up There, The (1994)"
"367","Gun Shy (2000)"
"368","Nutty Professor II: The Klumps (2000)"
"369","Beach Party (1963)"
"370","Alarmist, The (1997)"
"371","You So Crazy (1994)"
"372","Girl 6 (1996)"
"373","Fatal Instinct (1993)"
"374","Young Doctors in Love (1982)"
"375","Next Friday (1999)"
"376","Jawbreaker (1999)"
"377","Ed (1996)"
"378","Ready to Rumble (2000)"
"379","Bikini Beach (1964)"
"380","Trixie (1999)"
"381","Vegas Vacation (1997)"
"382","Private School (1983)"
"383","Spy Hard (1996)"
"384","Eddie (1996)"
"385","How to Stuff a Wild Bikini (1965)"
"386","Very Brady Sequel, A (1996)"
"387","House Arrest (1996)"
"388","Volunteers (1985)"
"389","Love Stinks (1999)"
"390","Sgt. Bilko (1996)"
"391","Sister Act 2: Back in the Habit (1993)"
"392","Devil and Max Devlin, The (1981)"
"393","Mixed Nuts (1994)"
"394","How to Be a Player (1997)"
"395","H.O.T.S. (1979)"
"396","Screwed (2000)"
"397","Airheads (1994)"
"398","Fiendish Plot of Dr. Fu Manchu, The (1980)"
"399","Larger Than Life (1996)"
"400","Ready to Wear (Pret-A-Porter) (1994)"
"401","Encino Man (1992)"
"402","Better Living (1998)"
"403","North (1994)"
"404","Holy Man (1998)"
"405","Ace Ventura: When Nature Calls (1995)"
"406","Made in America (1993)"
"407","Sixth Man, The (1997)"
"408","8 1/2 Women (1999)"
"409","Fathers' Day (1997)"
"410","Steal Big, Steal Little (1995)"
"411","Jimmy Hollywood (1994)"
"412","Road to Wellville, The (1994)"
"413","Burglar (1987)"
"414","National Lampoon's Senior Trip (1995)"
"415","Superstar (1999)"
"416","Big Momma's House (2000)"
"417","Stuart Saves His Family (1995)"
"418","Haunted Honeymoon (1986)"
"419","Soul Man (1986)"
"420","Pallbearer, The (1996)"
"421","Search for One-eye Jimmy, The (1996)"
"422","Krippendorf's Tribe (1998)"
"423","Police Academy 2: Their First Assignment (1985)"
"424","Welcome to Woop-Woop (1997)"
"425","Night at the Roxbury, A (1998)"
"426","Stay Tuned (1992)"
"427","Cabin Boy (1994)"
"428","Isn't She Great? (2000)"
"429","Man of the House (1995)"
"430","Crew, The (2000)"
"431","Bonfire of the Vanities (1990)"
"432","Pest, The (1997)"
"433","Under the Rainbow (1981)"
"434","Meet Wally Sparks (1997)"
"435","Celtic Pride (1996)"
"436","8 Heads in a Duffel Bag (1997)"
"437","Jury Duty (1995)"
"438","Who's That Girl? (1987)"
"439","Chasers (1994)"
"440","Getting Even with Dad (1994)"
"441","Thin Line Between Love and Hate, A (1996)"
"442","My Giant (1998)"
"443","Class Reunion (1982)"
"444","Exit to Eden (1994)"
"445","Major League: Back to the Minors (1998)"
"446","My Boyfriend's Back (1993)"
"447","Snow Day (2000)"
"448","Beverly Hillbillies, The (1993)"
"449","Gone Fishin' (1997)"
"450","High School High (1996)"
"451","Six of a Kind (1934)"
"452","Destiny Turns on the Radio (1995)"
"453","Repossessed (1990)"
"454","Leave It to Beaver (1997)"
"455","Gordy (1995)"
"456","Bio-Dome (1996)"
"457","Jerky Boys, The (1994)"
"458","Cops and Robbersons (1994)"
"459","Porky's II: The Next Day (1983)"
"460","Porky's Revenge (1985)"
"461","Police Academy 3: Back in Training (1986)"
"462","Peanuts - Die Bank zahlt alles (1996)"
"463","Happy Weekend (1996)"
"464","Superweib, Das (1996)"
"465","Stupids, The (1996)"
"466","Phat Beach (1996)"
"467","Loser (1991)"
"468","Intimate Relations (1996)"
"469","Alan Smithee Film: Burn Hollywood Burn, An (1997)"
"470","Tinseltown (1998)"
"471","Waiting Game, The (2000)"
"472","Live Virgin (1999)"
"473","House Party 2 (1991)"
"474","Chairman of the Board (1998)"
"475","She-Devil (1989)"
"476","Bushwhacked (1995)"
"477","Problem Child (1990)"
"478","Police Academy 4: Citizens on Patrol (1987)"
"479","Mr. Magoo (1997)"
"480","Mr. Wrong (1996)"
"481","B*A*P*S (1997)"
"482","Last Resort (1994)"
"483","Police Academy 5: Assignment: Miami Beach (1988)"
"484","House Party 3 (1994)"
"485","Meatballs 4 (1992)"
"486","Baby Geniuses (1999)"
"487","Meatballs Part II (1984)"
"488","Theodore Rex (1995)"
"489","Circus (2000)"
"490","Police Academy 6: City Under Siege (1989)"
"491","Problem Child 2 (1991)"
"492","Meatballs III (1987)"
"493","Sudden Manhattan (1996)"
"494","Little Indian, Big City (Un indien dans la ville) (1994)"
"495","Mutters Courage (1995)"
"496","Santa with Muscles (1996)"
"497","Spring Fever USA (a.k.a. Lauderdale) (1989)"
"498","Wirey Spindell (1999)"
"499","Hillbillys in a Haunted House (1967)"
"500","Headless Body in Topless Bar (1995)"
"501","Happiness Is in the Field (1995)"
"502","Honigmond (1996)"
"503","Quartier Mozart (1992)"
"504","Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
"505","Mille bolle blu (1993)"
"506","Lover's Knot (1996)"
"507","Associate, The (L'Associe)(1982)"
"508","Sexual Life of the Belgians, The (1994)"
"509","Three Lives and Only One Death (1996)"
"510","Here Comes Cookie (1935)"
"511","Farmer & Chase (1995)"
"512","I Shot a Man in Vegas (1995)"
"513","Boys, Les (1997)"
"514","Vermin (1998)"
"515","Champagne (1928)"
"516","Always Tell Your Wife (1923)"
"517","Reach the Rock (1997)"
"518","Little Bit of Soul, A (1998)"
"519","I Woke Up Early the Day I Died (1998)"
"520","Saphead, The (1920)"
"521","Train Ride to Hollywood (1978)"
